"id","item","code","name","segment","ncms"
"cest_0301100","11","03.011.00","Demais refrigerantes, exceto os classificados no CEST 03.010.00, 03.010.01, 03.010.02 e 03.011.01","03","22021000,22029900"
"cest_0301101","11.1","03.011.01","Espumantes sem álcool","03","2202"
"cest_0301200","12","03.012.00","Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”, exceto o classificado no CEST 03.012.01","03","21069010"
"cest_0301201","12.1","03.012.01","Cápsula de refrigerante","03","21069010"
"cest_0301300","13","03.013.00","Bebidas energéticas em lata","03","210690,22029900"
"cest_0301301","13.1","03.013.01","Bebidas energéticas em embalagem PET","03","210690,22029900"
"cest_0301302","13.2","03.013.02","Bebidas energéticas em vidro","03","210690,22029900"
"cest_0301400","14","03.014.00","REVOGADO","03","210690,22029900"
"cest_0301500","15","03.015.00","Bebidas hidroeletrolíticas","03","210690,22029900"
"cest_0301600","16","03.016.00","REVOGADO","03","210690,22029900"
"cest_0302100","21","03.021.00","Cerveja em garrafa de vidro retornável","03","22030000"
"cest_0302101","21.1","03.021.01","Cerveja em garrafa de vidro descartável","03","22030000"
"cest_0302102","21.2","03.021.02","Cerveja em garrafa de alumínio","03","22030000"
"cest_0302103","21.3","03.021.03","Cerveja em lata","03","22030000"
"cest_0302104","21.4","03.021.04","Cerveja em barril","03","22030000"
"cest_0302105","21.5","03.021.05","Cerveja em embalagem PET","03","22030000"
"cest_0302106","21.6","03.021.06","Cerveja em outras embalagens","03","22030000"
"cest_0302200","22","03.022.00","Cerveja sem álcool em garrafa de vidro retornável","03","22029100"
"cest_0302201","22.1","03.022.01","Cerveja sem álcool em garrafa de vidro descartável","03","22029100"
"cest_0302202","22.2","03.022.02","Cerveja sem álcool em garrafa de alumínio","03","22029100"
"cest_0302203","22.3","03.022.03","Cerveja sem álcool em lata","03","22029100"
"cest_0302204","22.4","03.022.04","Cerveja sem álcool em barril","03","22029100"
"cest_0302205","22.5","03.022.05","Cerveja sem álcool em embalagem PET","03","22029100"
"cest_0302206","22.6","03.022.06","Cerveja sem álcool em outras embalagens","03","22029100"
