"id","name","description","tax_base_type","table_date","percent_amount","cst_out_id:id","cst_in_id:id","tax_group_id:id"
"tax_icms_15_red","ICMS 15% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","15","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_18_red","ICMS 18% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","18","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_23_red","ICMS 23% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","23","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_25_red","ICMS 25% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","25","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_31_red","ICMS 31% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","31","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_ant_st","ICMS cobrado anteriormente por substuição tributária","","percent","","0","cst_icms_60","cst_icms_60","tax_group_icms"
"tax_icms_diferimento","ICMS Diferimento","","percent","","0","cst_icms_51","cst_icms_51","tax_group_icms"
"tax_icms_isento","ICMS Isento","","percent","","0","cst_icms_40","cst_icms_40","tax_group_icms"
"tax_icms_nt","ICMS NT","","percent","","0","cst_icms_41","cst_icms_41","tax_group_icms"
"tax_icms_suspensao","ICMS Suspensão","","percent","","0","cst_icms_50","cst_icms_50","tax_group_icms"
"tax_icms_outras","ICMS Outras","","percent","","0","cst_icms_90","cst_icms_90","tax_group_icms"
"tax_icms_sn_com_credito","ICMS SN Com Permissão de Crédito","","percent","","0","cst_icmssn_101","cst_icmssn_101","tax_group_icmssn"
"tax_icms_sn_sem_credito","ICMS SN Sem Permissão de Crédito","","percent","","0","cst_icmssn_102","cst_icmssn_102","tax_group_icmssn"
"tax_icms_sn_isento_faixa_bruta","ICMS SN Isento para a faixa de receita bruta","","percent","","0","cst_icmssn_103","cst_icmssn_103","tax_group_icmssn"
"tax_icms_sn_com_credito_st","ICMS SN Com Permissão de Crédito e Cobrança de ICMS por ST","","percent","","0","cst_icmssn_201","cst_icmssn_201","tax_group_icmssn"
"tax_icms_sn_sem_credito_st","ICMS SN Sem Permissão de Crédito e Cobrança de ICMS por ST","","percent","","0","cst_icmssn_202","cst_icmssn_202","tax_group_icmssn"
"tax_icms_sn_isento_st","ICMS SN Isento Para a Faixa de Receita Bruta e Cobrança de ICMS por ST","","percent","","0","cst_icmssn_203","cst_icmssn_203","tax_group_icmssn"
"tax_icms_sn_imune","ICMS SN Imune","","percent","","0","cst_icmssn_300","cst_icmssn_300","tax_group_icmssn"
"tax_icms_sn_nt","ICMS SN Não Tributado","","percent","","0","cst_icmssn_400","cst_icmssn_400","tax_group_icmssn"
"tax_icms_sn_cobrado_ant_st","ICMS SN cobrado anteriormente por ST ou por antecipação","","percent","","0","cst_icmssn_500","cst_icmssn_500","tax_group_icmssn"
"tax_icms_sn_outros","ICMS SN Outros","","percent","","0","cst_icmssn_900","cst_icmssn_900","tax_group_icmssn"
"tax_icms_6_st","ICMS 6% com ST","","percent","","6","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_7_st","ICMS 7% com ST","","percent","","7","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_13_08_st","ICMS 13.08% com ST","","percent","","13.08","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_12_st","ICMS 12% com ST","","percent","","12","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_15_st","ICMS 15% com ST","","percent","","15","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_18_st","ICMS 18% com ST","","percent","","18","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_23_st","ICMS 23% com ST","","percent","","23","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_25_st","ICMS 25% com ST","","percent","","25","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_31_st","ICMS 31% com ST","","percent","","31","cst_icms_10","cst_icms_10","tax_group_icms"
"tax_icms_6_st_red","ICMS 6% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","6","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_7_st_red","ICMS 7% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","7","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_13_08_st_red","ICMS 13.08% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","13.08","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_12_st_red","ICMS 12% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","12","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_15_st_red","ICMS 15% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","15","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_18_st_red","ICMS 18% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","18","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_23_st_red","ICMS 23% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","23","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_25_st_red","ICMS 25% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","25","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_31_st_red","ICMS 31% com redução BC e ST","Com redução da base de cálculo do ICMS da operação própria e cobrança do ICMS por ST.","percent_red","","31","cst_icms_70","cst_icms_70","tax_group_icms"
"tax_icms_fcp_2","FCP 2%","","percent","","2","","","tax_group_icmsfcp"
"tax_icms_fcp_2_st","FCP 2% ST","Fundo de combate a pobreza para substuição tributária","percent","","2","","","tax_group_icmsfcp_st"
"tax_ii_0","II 0%","","percent","","0","","","tax_group_ii"
"tax_ii_10","II 10%","","percent","","10","","","tax_group_ii"
"tax_ii_12","II 12%","","percent","","12","","","tax_group_ii"
"tax_ii_14","II 14%","","percent","","14","","","tax_group_ii"
"tax_ii_16","II 16%","","percent","","16","","","tax_group_ii"
"tax_ii_18","II 18%","","percent","","18","","","tax_group_ii"
"tax_ii_2","II 2%","","percent","","2","","","tax_group_ii"
"tax_ii_20","II 20%","","percent","","20","","","tax_group_ii"
"tax_ii_26","II 26%","","percent","","26","","","tax_group_ii"
"tax_ii_28","II 28%","","percent","","28","","","tax_group_ii"
"tax_ii_35","II 35%","","percent","","35","","","tax_group_ii"
"tax_ii_4","II 4%","","percent","","4","","","tax_group_ii"
"tax_ii_6","II 6%","","percent","","6","","","tax_group_ii"
"tax_ii_8","II 8%","","percent","","8","","","tax_group_ii"
"tax_inss_11","INSS 11%","","percent","","11","","","tax_group_inss"
"tax_inss_nt","INSS NT","","percent","","0","","","tax_group_inss"
"tax_inss_wh_11","INSS RET 11%","","percent","","11","","","tax_group_inss_wh"
"tax_inss_wh_nt","INSS RET NT","","percent","","0","","","tax_group_inss_wh"
"tax_ipi_0","IPI 0%","","percent","2022-07-29","0","cst_ipi_51","cst_ipi_01","tax_group_ipi"
"tax_ipi_qtt","IPI Tributado por Unidade","","quantity","2022-07-29","0","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_3_25","IPI 3,25%","","percent","2022-07-29","3.25","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_8","IPI 8%","","percent","2022-07-29","8","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_2_6","IPI 2,6%","","percent","2022-07-29","2.6","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_3_9","IPI 3,9%","","percent","2022-07-29","3.9","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_6_5","IPI 6,5%","","percent","2022-07-29","6.5","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_13","IPI 13%","","percent","2022-07-29","13","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_9_75","IPI 9,75%","","percent","2022-07-29","9.75","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_5_2","IPI 5,2%","","percent","2022-07-29","5.2","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_19_5","IPI 19,5%","","percent","2022-07-29","19.5","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_16_25","IPI 16,25%","","percent","2022-07-29","16.25","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_30","IPI 30%","","percent","2022-07-29","30","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_300","IPI 300%","","percent","2022-07-29","300","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_10","IPI 10%","","percent","2022-07-29","10","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_1_3","IPI 1,3%","","percent","2022-07-29","1.3","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_27_3","IPI 27,3%","","percent","2022-07-29","27.3","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_7_8","IPI 7,8%","","percent","2022-07-29","7.8","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_14_3","IPI 14,3%","","percent","2022-07-29","14.3","cst_ipi_50","cst_ipi_00","tax_group_ipi"
